,LogisticRegression,RandomForest,XGBoost,GradientBoosting,DecisionTree,KNN
LogisticRegression,1.0,6.1372914856593e-18,2.0804836938185115e-15,2.246155470005518e-30,1.0,3.0829451343212253e-29
RandomForest,6.1372914856593e-18,1.0,0.8776143287523154,1.5760330692282133e-15,2.6544582333728376e-17,2.7001249906849273e-14
XGBoost,2.0804836938185115e-15,0.8776143287523154,1.0,5.880112847241611e-16,2.1008289315736506e-15,8.135221245250658e-15
GradientBoosting,2.246155470005518e-30,1.5760330692282133e-15,5.880112847241611e-16,1.0,3.981815112332311e-30,0.1538599441628321
DecisionTree,1.0,2.6544582333728376e-17,2.1008289315736506e-15,3.981815112332311e-30,1.0,7.643336190566865e-29
KNN,3.0829451343212253e-29,2.7001249906849273e-14,8.135221245250658e-15,0.1538599441628321,7.643336190566865e-29,1.0
