,clv,prob_alive,exp_avg_value,pred_purchases_90d,pred_purchases_180d,pred_purchases_365d
count,5878.0,5878.0,5878.0,5878.0,5878.0,5878.0
mean,1417.6797908650135,0.9094565012121779,322.69602353478336,0.7980665936352721,1.5845063250488967,3.1746578089630204
std,7731.467964826514,0.17314063026740595,2279.4296987012153,1.2164237339969914,2.420189867586183,4.863441215068875
min,0.0,3.328687454013562e-10,0.0,1.3690297622403814e-09,2.7278035720444737e-09,5.492758327295621e-09
25%,0.0,0.924008433482838,0.0,0.17409835577120195,0.34605528527934104,0.6938340522399855
50%,370.6566005677035,0.979915905567136,217.84481299143349,0.45629294280937926,0.9050810860532509,1.8051370571252878
75%,1223.8863856296516,1.0,380.1525753209821,0.973571250964685,1.9343814488698867,3.877407143067639
max,323792.48191292223,1.0,170205.5520020688,28.48502996197132,56.75872497360994,114.29754976043145
