segment_y1,Champions,Loyal Customers,Big Spenders,Potential Loyalists,General Customers,At Risk,Lost Customers
Champions,0.6167,0.1028,0.0306,0.0222,0.1833,0.0083,0.0361
Loyal Customers,0.2041,0.1837,0.0204,0.1378,0.352,0.0204,0.0816
Big Spenders,0.3,0.1,0.1667,0.1,0.2,0.0,0.1333
Potential Loyalists,0.0215,0.0239,0.0036,0.378,0.2835,0.0144,0.2751
General Customers,0.0491,0.0511,0.0041,0.2178,0.453,0.0235,0.2014
At Risk,0.025,0.0,0.025,0.3,0.35,0.0,0.3
Lost Customers,0.0151,0.012,0.0,0.3163,0.2199,0.003,0.4337
